FirstName;SurName;UserPrincipalName;DisplayName;Password;Department;Path
Agnar;Lovland;Agnar.Lovland@sec.core;Agnar Lovland;TmdyY2khpUQcJn9w;Developer Team;"OU=Developer Team,OU=AD-Users,DC=sec,DC=core"
Håkon;Berdahl;Håkon.Berdahl@sec.core;Håkon Berdahl;C5DgAKBJhy9sFrjv;Developer Team;"OU=Developer Team,OU=AD-Users,DC=sec,DC=core"
Espen;Langerud;Espen.Langerud@sec.core;Espen Langerud;nnaLJe34JXJhMKqp;Developer Team;"OU=Developer Team,OU=AD-Users,DC=sec,DC=core"
Randi;Jenssen;Randi.Jenssen@sec.core;Randi Jenssen;HNxC2xRbzzyXWVsf;Developer Team;"OU=Developer Team,OU=AD-Users,DC=sec,DC=core"
Margrete;Slette;Margrete.Slette@sec.core;Margrete Slette;fzZS8yp5fK3bpAVy;IT-Drift;"OU=IT-Drift,OU=AD-Users,DC=sec,DC=core"
Runar;Snare;Runar.Snare@sec.core;Runar Snare;252K47j5CXZ5wxr9;Developer Team;"OU=Developer Team,OU=AD-Users,DC=sec,DC=core"
Rebekka;Brekke;Rebekka.Brekke@sec.core;Rebekka Brekka;7KLTYV7VxGFTb5wF;Developer Team;"OU=Developer Team,OU=AD-Users,DC=sec,DC=core"
Julie;Thoen;Julie.Thoen@sec.core;Julie Thoen;rNezm5W3RfYb4SGV;Developer Team;"OU=Developer Team,OU=AD-Users,DC=sec,DC=core"
Trygve;Danielsen;Trygve.Danielsen@sec.core;Trygve Danielsen;CpKwQMkQkwP8bn4B;Developer Team;"OU=Developer Team,OU=AD-Users,DC=sec,DC=core"
Elias;Mlayeh;Elias.Mlayeh@sec.core;Elias Mlayeh;JkGm82mgDw4dDFcT;IT-Drift;"OU=IT-Drift,OU=AD-Users,DC=sec,DC=core"
Erna;Hagen;Erna.Hagen@sec.core;Erna Hagen;qa6hprrL7FmyGqGq;Developer Team;"OU=Developer Team,OU=AD-Users,DC=sec,DC=core"
Benjamin;Aarhus;Benjamin.Aarhus@sec.core;Benjamin Aarhus;GdCyNUaXkhsBJgzv;Developer Team;"OU=Developer Team,OU=AD-Users,DC=sec,DC=core"
Eva;Agdestein;Eva.Agdestein@sec.core;Eva Agdestein;dgngRgdw6nNVsj9P;Developer Team;"OU=Developer Team,OU=AD-Users,DC=sec,DC=core"
Ali;Berge;Ali.Berge@sec.core;Ali Berge;KDY4npxxJKESLSFX;Developer Team;"OU=Developer Team,OU=AD-Users,DC=sec,DC=core"
